round,start_day,village,node_from,population,node_to,n,coverage
20-Sep,244,Obom,1,1400,3,655,0.467857143
20-Sep,244,Kofi_Kwei,2,2255,4,851,0.377383592
20-Sep,244,Obom,3,1475,1,696,0.471864407
20-Sep,244,Kofi_Kwei,4,1818,2,761,0.418591859
21-Jan,334,Obom,1,1441,3,566,0.39278279
21-Jan,334,Kofi_Kwei,2,2165,4,736,0.339953811
21-Jan,334,Obom,3,1434,1,548,0.382147838
21-Jan,334,Kofi_Kwei,4,1908,2,826,0.432914046
21-May,424,Obom,1,1423,3,516,0.362614195
21-May,424,Kofi_Kwei,2,2255,4,752,0.333481153
21-May,424,Obom,3,1452,1,602,0.414600551
21-May,424,Kofi_Kwei,4,1818,2,880,0.484048405
