round,start_day,village,node_from,population,node_to,n,coverage,coverage2,coverage3
20-Sep,244,Obom,1,1400,3,655,0.467857,0.467857,0.467857
20-Sep,244,Kofi_Kwei,2,2255,4,851,0.369384,0.369384,0.369384
20-Sep,244,Obom,3,1475,1,696,0.471864,0.471864,0.471864
20-Sep,244,Kofi_Kwei,4,1818,2,761,0.428592,0.428592,0.428592
21-Jan,334,Obom,1,1441,3,566,0.759732,0.759732,0.759732
21-Jan,334,Kofi_Kwei,2,2165,4,736,0.364217,0.34,0.32
21-Jan,334,Obom,3,1434,1,548,0.703466,0.703466,0.703466
21-Jan,334,Kofi_Kwei,4,1908,2,826,0.721457,0.72,0.72
