nodeid,Village,population,lat,lon,habitat_scale,baseline_prevalence
1,Obom,1600,5.735507,-0.439614,1,0.33
2,Kofi_Kwei,2400,5.751757,-0.405375,1,0.19
3,Other,2000,5.74,-0.41,1,0.25
